nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
 3978;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Fijn verblijf;Het hotel ligt strategisch midden tussen Nes en het strand, wat maakt dat die op loopafstand te bereiken zijn. Bus lijn 2 stopt bij het hotel.  Wij hadden een arrangement met twee overnachtingen, incl. ontbijt en een diner.  De hotelkamers zijn gerenoveerd, voldoende ruim en.;5;2019
12885;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;Sfeervol en modern hotel;Mooi hotel, vriendelijke bediening en prachtige lobby/eetruimte. Het enige minpuntje was de aankleding van de kamer: de vloerbedekking was oud en vol met vlekken. Daarnaast zagen de stoelen er versleten uit. Het belangrijkste (de bedden en de badkamer) waren echter prima in.;4;2019
 5162;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Complete kamers, hartelijke ontvangst;Veel aandacht voor het welbevinden van de gasten, complete kamer (inclusief koffie en thee faciliteiten), uitgebreid ontbijt. Gratis parkeren en op locatie op loopafstand van het centrum van mooi Leeuwarden.;5;2018
 2566;Hotelletje de Veerman;Dorpsstraat 173, 8899 AG, Vlieland Nederland;8899 AG;NA; 20;Weekend Vlieland;Het bleek ongeveer het mooiste weekend ooit, zo diep in november op Vlieland. Prachtige zon, heerlijke temperatuur om actief te zijn en ook nog redelijk veel gasten. We sliepen in Het Hotelletje de Veerman pal onder het licht van de vuurtoren. Prima verzorgd, mooie kamer,.;4;2018
 5241;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Te duur;Bij het ontbijt werd er ons verteld dat hij zo bij ons zou zijn, daarna niemand meer gezien en wisten we dus niet of we iets mochten pakken. Bord werd vervolgens al meegenomen toen het broodje nog in de hand zat. Medewerker ontbijt slofte verschrikkelijk en liep erg langzaam. De.;3;2019
 9646;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Sir Lawrence Alma Tadema;In Leeuwarden heb je de Fries Museum en ze hebben nu een expositie van de Nederlandse? Anglo schilder sir Lawrence Alma Tadema. Het is geweldig. erg mooi. Als de stad Leeuwarden is erg levendig en beautiul. we hebben er erg van genoten.;4;2016
 5276;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Erg leuk verblijf!;Zeer goed hotel. Behalve het bad was te hoog uit te stappen! Medewerkers waren erg aardig. Kamers waren mooi. We waren hier voor '. Kruip in de huid van'. We zullen zeker terugkomen in uw hotel. Bedankt voor de geweldige service!;4;2017
12806;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;Mooi restaurant, leuk hotel;"""De verbouwing in het restaurant is geweldig gedaan, erg sfeervol en toch een 'beach' gevoel! Personeel kundig en enthousiast ! Hotel is prima, eenvoudige kamers, goed ontbijt. Parkeerterrein is bijna leeg - kost ,4,"""" mrt. 2018""";mrt-18;NA
 7559;Hotel de Kluut;Berkenlaan 18, 8899 BP, Vlieland Nederland;8899 BP;NA; 21;Perfekt onderkomen voor een paar nachten;Een rustig gelegen hotel met vriendelijk ontvangst. Op loopafstand van de boot.Schone kamers en goede bedden. Het ontbijt is heerlijk, met superlekker zelfgebakken brood, genoeg beleg, yoghurt met verschillende toppings en nog veel meer! Er is een sauna waar je gebruik van kan.;5;2017
   67;Hotel Restaurant de Vrouwe van Stavoren;Havenweg 1, 8715 EM Stavoren Nederland;8715 EM;Stavoren; 20;Slechte Lunch;Na het verkrijgen van een tafel bij het raam hadden wij trek in een lekkere lunch. Wij vroegen om 2 glazen witte wijn, en absoluut geen chardonnay, na 5 min kwam de serveerster terug met de melding : ik heb geen andere. Het staat toch echt op de kaart, na weer overleg kon het.;1;2017
 1384;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Mooi nieuw hotel aan natuurgebied;Hotel,ligt buiten Sneek maar is snel en goed bereikbaar. Ligt aan de rand van een natuurgebied waar het dus rustig ligt met mooie uitzichten uit de kamers. Het hotel is nieuw en de kamers zijn groot en netjes. Zoals gewoonlijk zijn de ontbijten bij van de valk altijd goed en.;4;2016
11955;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Aanbevelingswaardig;Het hotel biedt leuke arrangementen. Wij hebben genoten van het Beerenburg-arrangement. Zeer goede prijs-/kwaliteitverhouding. Het jonge personeel is bijzonder vriendelijk. Kwaliteit van het eten was uitstekend.;5;2016
  708;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Mooi hotel, zeer leuke arrangementen;Geweldig gegeten bij restaurant Eleve. Mooi hotel, gratis upgrade naar de bruidssuite. Geweldig. Prima service bij de receptie. Leuk arrangement huren sloepje met uitgebreide lunch. Zeker voor herhaling vatbaar.;5;2018
 4391;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Weekendje uitwaaien;Het gebouw is niet echt mooi om te zien maar de plek is echt geweldig. Aan het strand en een super beachclub voor de deur. De kamers met zeezicht was ruim en aangenaam. Goede bedden en een spiksplinternieuwe badkamer in prachtige zandtinten. Klein balkonnetje waar je me 2 op.;4;2019
 5691;Hotel Galamadammen Restaurant Jachthavens;Galamadammen 1/4, 8723 CE Koudum Nederland;8723 CE;Koudum; 47;Voor een korte vakantie redelijk goed te doen.;Het is een mooi hotel met zeer ruime kamers. Ruime opzet qua hal en badkamer. In de hal hangt de kapstok zeer hoog, jammer. Het toilet was apart in de hal, maar wel wat krap aangelegd terwijl er in de hal voldoende ruimte is. Je stoot tegen het fontein aan, deze is niet op een.;3;2016
 1389;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Mooi hotel, hele ruimer kamer;Hotel is smaakvol ingericht. Kamer erg groot en luxe ruime badkamer. Ontbijt uitgebreid en wordt continue bijgevuld. Terras buiten is ook fijn. Aanrader voor watersporters. Personeel erg vriendelijk. Veel waar voor je geld. Wij komen vast nog een keer terug;5;2015
 4204;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Gunstig gelegen, gunstige prijs;"""Erg vriendelijk personeel. Goede bedden en erg goed ontbijt. De plek van het hotel ligt op een prima plek voor zowel het dorp als het strand. Bushalte om de hoek. Het gebruik van het zwembad is een bijkomend genoegen. Van andere """"wellness-mpgelijkheden"""" hebben we geen gebruik.""";4;2014
 4220;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Heel lekker hotel;We hadden een ruime  schone familiekamer met een heerlijk balkon. Goed ontbijt leuk personeel een aanrader dus.;4;2012
 9198;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;fijn verblijf;"Goede kamer met dito bedden en sanitaire voorzieningen; de kwaliteit van de maaltijden was erg goed en het bedienend personeel zeer vriendelijk en voorkomend. de accuratesse daarentegen verdient enige aandacht";4;2015
 2406;Hotel Restaurant It Posthus;DS RH Kuiperstraat 1, 9111 HA Birdaard Nederland;9111 HA;NA;  8;11 steden. Fiets  vakantie;Super goed verzorgd. Leuke kamer. Heerlijk diner. En een bijzonder goed ontbijt. Alles vers. Zelfs onze fietsen mochten binnen staan. Goed glas U+0001F377 en een fris getapt U+0001F37A. Vriendelijke mensen..!!!!........,..................................;5;2017
10728;Golden Tulip Tjaarda Oranjewoud;Koningin Julianaweg 98, 8453 WH Oranjewoud Nederland;8453 WH;Oranjewoud;NA;Ik voel me er altijd welkom;We zijn al een aantal keer in dit hotel geweest. Het is er altijd goed, ook het eten is er fantastisch. Het 'Priewke menu' is zeker een aanrader! Dit is een 10-gangen diner, welk wordt geserveerd in 8-gangen. Heerlijke streekgerechten, waarbij de bediening bijpassende wijnen bij.;4;2013
12632;Het Weeshuis;Kerkstraat 53, 8701 HR Bolsward Nederland;8701 HR;Bolsward; 13;gezellig hotel, persoonlijke aandacht, en historische wetenswaardigheden;Dit kleine hotel is gesitueerd in oud weeshuis, veel aandacht voor de geschiedenis. kamers zijn mooi gerenoveerd. Door oude gebouw is badkamer wel beetje onhandige ingedeeld. Gastheer en gastvrouw fantastisch. ontbijt uitstekend. boom achter huis zat vol uilen! en prachtige.;4;2015
11741;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;precies goed;goede ligging ten opzichte van de snelweg , mooi ingericht restaurant en ontbijtgedeelte. vriendelijk en behulpzaam personeel. voldoende parkeer gelegenheid. heerlijk ligbad op de hotelkamer.mooie grote slaapkamer voorzien van airco;4;2017
 8353;Landal Waterpark Sneekermeer;Jongebuorren 5, 8493 LX Terherne Nederland;8493 LX;Terherne;NA;Séjour en famille;Très joli parc avec chaque maison au bord de l'eau, cadre très agréable à proximité du centre du village. À recommander pour des séjours en famille pour ceux qui aiment les sports d'eau. Plusieurs restaurants sont à proximité, il y a des possibilités de location de bateaux et de kayak, de vélo etc. à la sortie du parc. L'accueil des gens très sympathiques dans la région. N'hésitez À vous déplacer, et à visiter les villes et villages à proximité..;4;2017
 7283;Haje Hotel Heerenveen;Schans 65, 8441 AC Heerenveen Nederland;8441 AC;Heerenveen; 55;Ongezellig en muggen;Het restaurant is aan een grondig onderhoud toe. Het goedkope laminaat, de stoelen en vooral  de overlast van muggen (neefjes in de volksmond) is erg. Het personeel zit met 2 man achter de balie beneden terwijl er in het restaurant 1 meisje rondloopt.;1;2015
11929;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;we hebben het erg naar ons zin gehad;we waren erg tevreden over het verblijf  Alleen als klein minpuntje vonden wij toen we om 22.45 uur  van buiten het hotel terug kwamen en nog gebruikt wilde maken van de bar deze al gesloten was. Dit is uiteindelijk alsnog netjes opgelost;4;2017
 7627;Ster Logies Leeuwarden;Mr. P.J. Troelstraweg 133, 8919 AA Leeuwarden Nederland;8919 AA;Leeuwarden;  7;Anders dan verwacht;Na het zien van de mooie foto's op de website besloten we om hier ons weekendje Leeuwarden te boeken. Eenmaal aangekomen bleek wat de website ons had voorgeschoteld toch niet helemaal te kloppen. Er was niemand om ons te verwelkomen, dit dit was echter van tevoren al.;3;2015
 8277;Bed & Breakfast De Tuinkamer;Hoogstraat 3, 8861 AD Harlingen Nederland;8861 AD;Harlingen;NA;Fantastisch!;Vanaf de boot in 5 minuten worden we uitermate vriendelijk en bijzonder gastvrij ontvangen. Via de tuin komen we in een ruime kamer en zeer royale badkamer met prima douche en dubbele wastafel. Kamer is voorzien van een nespresso en een waterkoker, maar ook het glas wijn bij aankomst was een gezellige start. Ontbijt was ruim voldoende, en er werd ons verteld om vooral de broodjes die over waren mee te nemen, hiervoor lagen ook papieren broodzakjes klaar....;4;2018
 8366;Haantjes Vakantiepark;Koksbosweg 4, 8894 KK Formerum, Terschelling Nederland;8894 KK;Formerum, Terschelling;  5;Genieten;"""Afgelopen weekend hier een """"huisje"""" gehuurd. Althans op booking stond het omgeschreven als huisje, maar het was gewoon een soort sta caravan. Klein en krap, maar wel heel schoon, zeer fijne matrassen en alles was dik in orde. Mooie locatie, prachtig eiland!""";4;2019
 9291;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Goede ligging en top bediening;Lang weekend geboekt. Oranje hotel was nog vrij. Bleek zeer goede keuze. Personeel is echt top. Begint al bij de receptie. Uitermate vriendelijk en behulpzaam. Bij het ontbijt en terras dezelfde ervaring. Kamers zijn prima. Goede bedden en kussens. Tot slot. Ligging is top..;5;2018
 9620;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Prima, gezellig en zeer gastvrij!;Prima bedden, schoon, goed ontbijt maar vooral gastvrij, we waren met 8 vrouwen een weekend in Leeuwarden en hebben genoten. Het hotel ligt vlakbij het station en op loopafstand van de stad, het hotel is rustig gelegen, maar de gastvrijheid is top!;5;2015
 8103;Selatuinen;De Bult 3, 8426 SK Appelscha Nederland;8426 SK;Appelscha;  2;Top B&B in prachttuin;Wat een fantastische plek. Verspreid over de mooie tuin, zijn 3 kamers ingericht. Liefdevol ontvangen. Met auto naar Appelscha gebracht om fietsen op te pikken bij fietshandelaar. Wij verbleven in tuinkamer. Bij onze kamer was mooi intiem tuintje. Diner en ontbijt waren vorstelijk. Gerechten uit de streek. In de omgeving ligt Foochelerveen en Drents-Friese Wold. .;5;2017
 1190;Stayokay Heeg - Friesland;'t Eilan 65, 8621 CT Heeg Nederland;8621 CT;Heeg; 39;Goede verblijfplaats voor de actieveling.;Tijdens de Elfsteden-fietstocht hebben we hier overnacht. Een leuke accomodatie waar je geen luxe hoeft te verwachten maar de belangrijke voorzieningen zijn allemaal aanwezig. Vanuit deze stayokay kun je fietsen, zeilen en wandelen dus een goede plek voor de actieveling.;4;2014
 8974;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Als werkplezier een antwoord is, wat is dan de vraag?;De bediening bij het ontbijt en op het terras was matig (hadden er volgens ons geen plezier in), vergeleken bij andere hotels waar we verbleven. Bovendien vond ik de dinerkaart duur en niet aantrekkelijk genoeg, om hier gebruik van te maken.  Voor de rest was alles prima in.;3;2015
 5486;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Net hotel;Hier geweest met een groep vrienden. De kamer zijn zeer ruim en schoon en zeer goede bedden. Het ontbijt is goed verzorgd en vriendelijk personeel. Mogelijk fietsen te huren en die bij de boot in te leveren.;4;2018
  844;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;nachtje;ivm vroege bijeenkomst eerder afreist naar leeuwarden om te overnachten. Receptie zeer vriendelijk en behulpzaam. kamers zeer netjes en van alle gemakken voorzien. Restaurant personeel erg vriendelijk. restaurant op de bovenste versdieping met prachtig uitzicht. jammer dat je.;4;2019
 8915;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Een prima hotel;"Een prima hotel. Wij zijn hier al meerdere malen geweest. Wij kiezen dit hotel in Leeuwarden om de volgende redenen:  - goed bereikbaar (met auto, maar ook met NS),  - op loopafstand t.o.v. het centrum; - mooie kamers,  - een uitstekend ontbijt, en; - vriendelijk personeel.";4;2017
10797;Hotel Anna Casparii;Noorderhaven 69, 8861 AL Harlingen Nederland;8861 AL;Harlingen; 16;Geweldig hotel;Mijn partner en ik verbleven in dit hotel voor 1 nacht en het was een geweldige ervaring. We hadden een kamer met uitzicht op de jachthaven aan de voorkant van het hotel. Onze kamer had een mooie grote badkamer met een douche en een ligbad. Het was erg schoon. Ontbijt was.;4;2016
 7533;De Wadvaarder Bed & Breakfast Terschelling;Westerburen 30, 8891 GP, Terschelling Nederland;8891 GP;NA;NA;Uitwaaien;Bij aankomst op Terschelling verwachtten we dat we de taxi nog moesten bellen.  Dit was al geregeld, door de eigenaren van pension de wadvaarder.  Bij aankomst op pension werden we ontzettend gastvrij ontvangen. Drankje aangeboden en kregen uitleg wat er in arrangement zat en.;4;2017
 8320;Uit Alle Windstreken;Paardepad 2, 8713 KR Hindeloopen Nederland;8713 KR;Hindeloopen;  3;Super gezelllige en knusse B&B;We werden zeer hartelijk ontvangen door de gastvrouw die je indien gewenst ook van de nodige tips kan voorzien. Er zijn 3 kamers in deze B&B (lekker knus) Wij hadden de Afrika kamer. Deze is zeer leuke gezellig ingericht met een heerlijk tweepersoonsbed. Minpuntje is de zeer kleine wc/doucheruimte met een mini wasbakje. (de andere kamers hebben een grote douche maar soms losse bedden)  Het ontbijt nuttig je beneden in de gezamenlijke ruimte/keuken. Deze is super, met verse broodjes (met of croissant/cracker/roggebroodje e.d.) eitjes, jus, diverse beleg, vers fruit e.d. yoghurt kan je eventueel nog zelf pakken uit de koelkast. De koelkast staat zo ie zo vol met fris/water/bier en wijn om te gebruiken (noteer wat je gebruik en reken later af). Gebruik van koffie en thee is gratis. Hindeloopen is een klein gezellig dorpje met genoeg restaurantjes, let wel je kan de auto wel even parkeren om je spullen uit te laden maar deze dien je daarna op de gratis parkeerplaats bij de haven neer te zetten (stukje lopen 5 min)..;4;2019
12022;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Business Hotel;Boven gemiddelde business hotel. Comfort kamers zijn veel beter dan de standaardkamer. Comfort is ongeveer 50 % groter en beter is verlicht. Fitnessruimte is klein maar functioneel, loopband, cross trainer en fiets. Eten is goed. Wifi is betrouwbaar. Bowlen naast de deur is een.;3;2015
 6352;Hotel de Wijnberg;Marktplein 5, 8701 KG Bolsward Nederland;8701 KG;Bolsward; 26;Gezellig hotelletje;Midden in Bolsward aan het Marktplein vind je dit gezellig hotelletje. De kamers zijn eenvoudig, je zit tenslotte in een oud pand. Het bed is echter goed en je hebt je eigen douche en toilet. Ontbijt is prima. De ligging is prima. Vanaf het cafeterras heb je mooi uitzicht. Het.;3;2016
 2215;Hotel Oepkes;De Ruyterstraat 3, 8881 AM West-Terschelling, Terschelling Nederland;8881 AM;West-Terschelling, Terschelling; 19;Vriendelijk hotel & vriendelijk geprijsd;Waar voor je geld bij hotel/restaurant Oepkes, vlak onder het gerustellende licht van de brandaris. Fijne bedden, eenvoudige schone kamers. Aardige bediening en prima maaltijden. Met 5 vriendinnen genoten van een fijn verblijf.;4;2016
10988;Stayokay Terschelling;'t Land 2, 8881 GA West-Terschelling, Terschelling Nederland;8881 GA;West-Terschelling, Terschelling; 35;Verrassend.;Ik moet eerlijk zeggen dat ik geen hoge verwachtingen had, maar die werden toch wel overtroffen. Ik eigenlijk weinig minpunten vinden, personeel zeer behulpzaam en vriendelijk. Het enige wat ik iets minder vond, zijn de bedden. Die zijn twee meter en met een voeteneind, als je.;4;2017
